Std int8     ,  256 ,    56 ,0.21875
Std int16    ,  256 ,    29 ,0.11328125
Std int32    ,  256 ,    39 ,0.15234375
Std int64    ,  256 ,    64 ,0.25
Std int8     , 2048 ,   102 ,0.0498046875
Std int16    , 2048 ,   156 ,0.076171875
Std int32    , 2048 ,   247 ,0.12060546875
Std int64    , 2048 ,   498 ,0.2431640625
Std int8     , 8192 ,   414 ,0.050537109375
Std int16    , 8192 ,   669 ,0.0816650390625
Std int32    , 8192 ,  1353 ,0.1651611328125
Std int64    , 8192 ,  2964 ,0.36181640625
Std int8     ,65536 , 14509 ,0.2213897705078125
Std int16    ,65536 , 28283 ,0.4315643310546875
Std int32    ,65536 , 59010 ,0.900421142578125
Std int64    ,65536 ,118922 ,1.814605712890625
Scalar int8  ,  256 ,   136 ,0.53125
Scalar int16 ,  256 ,   135 ,0.52734375
Scalar int32 ,  256 ,   137 ,0.53515625
Scalar int64 ,  256 ,   138 ,0.5390625
Scalar int8  , 2048 ,   980 ,0.478515625
Scalar int16 , 2048 ,  1101 ,0.53759765625
Scalar int32 , 2048 ,   980 ,0.478515625
Scalar int64 , 2048 ,   995 ,0.48583984375
Scalar int8  , 8192 ,  3891 ,0.4749755859375
Scalar int16 , 8192 ,  3914 ,0.477783203125
Scalar int32 , 8192 ,  4361 ,0.5323486328125
Scalar int64 , 8192 ,  4374 ,0.533935546875
Scalar int8  ,65536 , 35002 ,0.534088134765625
Scalar int16 ,65536 , 34778 ,0.530670166015625
Scalar int32 ,65536 , 30251 ,0.4615936279296875
Scalar int64 ,65536 , 32332 ,0.49334716796875
SIMD int8    ,  256 ,    52 ,0.203125
SIMD int16   ,  256 ,    27 ,0.10546875
SIMD int32   ,  256 ,    34 ,0.1328125
SIMD int64   ,  256 ,    47 ,0.18359375
SIMD int8    , 2048 ,    85 ,0.04150390625
SIMD int16   , 2048 ,   138 ,0.0673828125
SIMD int32   , 2048 ,   178 ,0.0869140625
SIMD int64   , 2048 ,   291 ,0.14208984375
SIMD int8    , 8192 ,   301 ,0.0367431640625
SIMD int16   , 8192 ,   561 ,0.0684814453125
SIMD int32   , 8192 ,  1129 ,0.1378173828125
SIMD int64   , 8192 ,  1137 ,0.1387939453125
SIMD int8    ,65536 ,  2292 ,0.03497314453125
SIMD int16   ,65536 ,  3503 ,0.0534515380859375
SIMD int32   ,65536 ,  5191 ,0.0792083740234375
SIMD int64   ,65536 , 11560 ,0.1763916015625
