int8  ,  256 ,    27 ,0.10546875
int16 ,  256 ,    32 ,0.125
int32 ,  256 ,    45 ,0.17578125
int64 ,  256 ,    73 ,0.28515625
int8  , 2048 ,   115 ,0.05615234375
int16 , 2048 ,   176 ,0.0859375
int32 , 2048 ,   302 ,0.1474609375
int64 , 2048 ,   641 ,0.31298828125
int8  , 8192 ,   412 ,0.05029296875
int16 , 8192 ,   791 ,0.0965576171875
int32 , 8192 ,  3046 ,0.371826171875
int64 , 8192 ,  8947 ,1.0921630859375
int8  ,65536 , 15244 ,0.23260498046875
int16 ,65536 , 31962 ,0.487701416015625
int32 ,65536 , 59386 ,0.906158447265625
int64 ,65536 ,119715 ,1.8267059326171875
